campus_nam,stu_city,stu_lat,stu_long,stu_servic,stu_online
Islamabad,Chakwal,32.93278820000,72.86295760000,Zong,Google Meet
Islamabad,Islamabad/Rawalpindi,33.64661910000,73.03116080000,PTCL,Microsoft Teams
Islamabad,Multan,30.21448690000,71.46420020000,Zong,Google Meet
Islamabad,Multan,30.21585392000,71.52119196000,Zong,Zoom
Islamabad,Islamabad/Rawalpindi,33.68442020000,73.04788480000,Telenor,"Zoom, Meet and Teams all three of them"
Chiniot_Faisalabad,Jhang sadar,31.27806830000,72.33167610000,Zong,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.72072500000,73.01031270000,Jazz,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.45036620000,73.13496050000,PTCL,Zoom
Islamabad,Islamabad/Rawalpindi,33.68442020000,73.04788480000,PTCL,Google Meet
Chiniot_Faisalabad,Sargodha,32.18363830000,72.79098390000,Telenor,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,31.39961910000,73.09807730000,Jazz,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.71646660000,73.07530840000,Jazz,Google Meet
Islamabad,Chiniot/Faisalabad,31.44396870000,73.04657220000,Jazz,Zoom
Karachi,Bahawalpur,24.93277570000,67.12643860000,Jazz,Google Meet
Karachi,Karachi,24.88505340000,67.02652310000,Ufone,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,33.64044860000,73.06568130000,Jazz,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.75837610000,72.91652660000,Zong,Microsoft Teams
Karachi,Karachi,24.92080841000,67.13174527000,Telenor,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.38225450000,73.06865110000,Zong,Microsoft Teams
Islamabad,Kahror Pakka,29.64376280000,71.91642170000,Zong,Microsoft Teams
Chiniot_Faisalabad,Dera Ghazi Khan,30.05249250000,70.63915290000,Zong,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.64043960000,73.06568130000,Ufone,All of the above
